"front","back","tags"
"What states do processes generally have in OSes?","Processes generally have at least the following states:<div><b>new</b>, <b>blocked</b>, <b>ready</b>, <b>running</b>, <b>halted</b>.</div><div>Some OSes also include <b>ready &amp; suspended</b> as well as <b>blocked &amp; suspended</b> states.</div>","process"
"What is the trace of a process (or thread)?","The trace of a process(thread) is its execution history, i.e a chronological sequence of memory locations of the executed instructions.","process"
"What is the difference between user and kernel modes?","Application programs are run in user mode where the process can only access its own memory locations and doesn't have access to protected machine commands. Processes running in kernel mode on the other hand have access to the entire memory and can execute any machine command.",
"What is the difference between regular interrupts and traps?","Regular interrupts provide a means of signaling the processor that it is required to perform some activities for peripherals such as mass storage or networking. Traps on the other hand are interrupts caused by a problem in the execution the current process.","interrupt trap"
"What is a thread?","A thread is an abstraction used in many operating systems. It corresponds to a single ""path of execution"" / trace in a program. Programs may be single- or multithreaded.","thread terminology"
"What is a process?","A process is an abstraction of running programs used in most operating systems. A process can be thought of as an instantiation of a program.","process terminology"
"What is a process image and what does it consist of?","A process image is the instantiation of a process in memory, and it consists of the PCB, program stack, code and data. ","process"
"What happens when a process is suspended?","A process being suspended means that it is moved out of memory to make room for something else. The process may later be brought back into memory to continue the computation.","suspension process"
"What does preemption mean in the context of processes and threads?","Preemption means that another process or thread is granted access to a resource (such as processor) before the original user of the resource is done. The original user is put back in queue to wait for their turn at the resource.","preemption process thread"
"What does PCB stand for and consist of?","A PCB or process control block is a data structure that contains the administrative information needed by the OS for scheduling and other process control activities. The PCB of a process is not visible to the process itself.","process"
"What are interrupts and why are they used?","Interrupts provide a method of preemption of the processor to run necessary OS functionalities. Interrupts provide a signalling facility that e.g allows slower peripherals to request service from the processor. The execution of the OS service is then interleaved with the execution of other processes.","interrupt terminology"
"What is a process switch?","A process switch is the action of changing which process the processor is executing before the current process is finished.","process scheduling switching"
"Why is process switching necessary?","It is necessary to enable multiprogramming.","process scheduling switching"
"What does the OS need to do during a process switch?","<ol><li>Save the state of current process<li>Load the state of the next process<li>Go back to user mode</ol>","process switching"
"Which events can trigger a process switch?","<ul><li>Current process exhausted its time slice<li>Preemption by a higher priority process<li>Current process completed or triggered trap</ul>",
"What is a mode switch?","A mode switch refers to the changing of execution mode of the processor without switching the entire process.",
"What does mode switching enable?","Mode switching enables OS routines to be run in the context of the current process.",
"What advantage does a mode switch have compared to a process switch?","Mode switching is much faster than process switching since the entire state of the process does not need to be saved to memory.",
